payment_id,send_from_account_id,sent_to_account_id,transaction_date,device,transactionEpoch,trust_score,amount
payment1,user_account1,user_account2,7/13/19,device1,1562976000,0.5,682
payment3,user_account3,user_account4,5/10/01,device3,989452800,0.5,554
payment5,user_account5,user_account6,1/6/11,device5,1294272000,0.5,761
payment7,user_account7,user_account8,5/13/18,device7,1526169600,0.5,187
payment9,user_account9,user_account10,6/21/05,device9,1119312000,0.5,617
payment111,user_account11,user_account12,3/8/07,device11,1173312000,0.5,410
payment113,user_account13,user_account14,2/12/14,device13,1392163200,0.5,49
payment115,user_account15,user_account16,12/20/11,device15,1324339200,0.5,645
payment17,user_account17,user_account18,2/26/16,device17,1456444800,0.5,512
payment19,user_account19,user_account20,11/7/04,device19,1099785600,0.5,298
payment211,user_account21,user_account22,8/5/12,device21,1344124800,0.5,576
payment255,user_account25,user_account26,10/7/01,device25,1002412800,0.5,340
payment27,user_account27,user_account28,12/6/17,device27,1512518400,0.5,369
payment29,user_account29,user_account30,9/1/17,device29,1504224000,0.5,267
payment31,user_account31,user_account32,10/19/01,device31,1003449600,0.5,204
payment33,user_account33,user_account34,7/22/03,device33,1058832000,0.5,310
payment35,user_account35,user_account36,6/14/17,device35,1497398400,0.5,365
payment37,user_account37,user_account38,4/3/04,device37,1080950400,0.5,587
payment39,user_account39,user_account40,3/10/00,device39,952646400,0.5,160
payment41,user_account41,user_account42,6/10/12,device41,1339286400,0.5,47
payment43,user_account43,user_account44,11/9/04,device43,1099958400,0.5,340
payment47,user_account47,user_account48,8/4/05,device47,1123113600,0.5,658
payment49,user_account49,user_account50,6/13/18,device49,1528848000,0.5,449
payment51,user_account51,user_account52,10/16/16,device51,1476576000,0.5,408
payment53,user_account53,user_account54,7/28/03,device53,1059350400,0.5,98
payment55,user_account55,user_account56,5/4/06,device55,1146700800,0.5,240
payment57,user_account57,user_account58,5/17/01,device57,990057600,0.5,83
payment59,user_account59,user_account60,9/26/05,device59,1127692800,0.5,354
payment61,user_account61,user_account62,11/28/15,device61,1448668800,0.5,350
payment63,user_account63,user_account64,9/21/11,device63,1316563200,0.5,642
payment65,user_account65,user_account66,3/22/15,device65,1426982400,0.5,701
payment69,user_account69,user_account70,5/24/14,device69,1400889600,0.5,471
payment71,user_account71,user_account72,4/16/11,device71,1302912000,0.5,764
payment73,user_account73,user_account74,4/16/16,device73,1460764800,0.5,313
payment75,user_account75,user_account76,6/15/00,device75,961027200,0.5,771
payment77,user_account77,user_account78,7/25/16,device77,1469404800,0.5,335
payment79,user_account79,user_account40,2/9/10,device79,1265673600,0.5,419
payment80,user_account80,user_account40,6/1/02,device80,1022889600,0.5,409
payment81,user_account81,user_account40,12/1/02,device81,1038700800,0.5,505
payment82,user_account82,user_account40,3/7/14,device82,1394150400,0.5,138
payment83,user_account83,user_account31,8/26/05,device83,1125014400,0.5,437
payment84,user_account84,user_account32,8/19/12,device84,1345334400,0.5,378
payment85,user_account85,user_account35,12/17/01,device85,1008547200,0.5,45
payment86,user_account86,user_account37,1/9/04,device86,1073606400,0.5,725
payment87,user_account87,user_account11,2/19/06,device87,1140307200,0.5,116
payment88,user_account88,user_account40,2/14/15,device88,1423872000,0.5,275
payment89,user_account89,user_account31,5/8/00,device89,957744000,0.5,487
payment90,user_account90,user_account32,4/17/10,device90,1271462400,0.5,542
payment91,user_account91,user_account35,3/24/06,device91,1143158400,0.5,302
payment92,user_account92,user_account37,3/19/14,device92,1395187200,0.5,602
payment93,user_account93,user_account11,8/19/14,device93,1408406400,0.5,669
payment96,user_account96,user_account46,8/2/03,device96,1059782400,0.5,712
payment97,user_account97,user_account50,4/1/15,device97,1427846400,0.5,604
payment98,user_account98,user_account52,11/4/02,device98,1036368000,0.5,177
payment99,user_account99,user_account54,10/10/12,device99,1349827200,0.5,538
payment100,user_account100,user_account56,5/24/03,device100,1053734400,0.5,199
payment101,user_account101,user_account159,9/26/16,device101,1474848000,0,500
payment102,user_account102,user_account60,9/25/08,device102,1222300800,0.5,454
payment103,user_account103,user_account62,7/23/08,device103,1216771200,0.5,611
payment104,user_account104,user_account64,6/7/07,device104,1181174400,0.5,554
payment105,user_account105,user_account66,2/11/03,device105,1044921600,0.5,743
payment106,user_account106,user_account70,6/28/05,device106,1119916800,0.5,230
payment107,user_account107,user_account72,12/15/13,device107,1387065600,0.5,530
payment108,user_account108,user_account74,8/18/13,device108,1376784000,0.5,431
payment109,user_account109,user_account76,8/18/13,device109,1376784000,0.5,146
payment110,user_account110,user_account78,6/19/11,device110,1308441600,0.5,661
payment1111,user_account111,user_account50,7/25/15,device111,1437782400,0.5,485
payment1112,user_account112,user_account52,3/19/14,device112,1395187200,0.5,480
payment1115,user_account115,user_account54,1/11/10,device115,1263168000,0.5,156
payment116,user_account116,user_account56,2/27/14,device116,1393459200,0.5,706
payment117,user_account117,user_account58,12/7/05,device117,1133913600,0.5,556
payment118,user_account118,user_account60,6/24/10,device118,1277337600,0.5,101
payment119,user_account119,user_account62,10/7/13,device119,1381104000,0.5,413
payment120,user_account120,user_account64,8/14/04,device120,1092441600,0.5,716
payment121,user_account121,user_account66,4/16/12,device121,1334534400,0.5,577
payment122,user_account122,user_account70,11/24/16,device122,1479945600,0.5,299
payment123,user_account123,user_account72,6/12/00,device123,960768000,0.5,791
payment124,user_account124,user_account74,4/9/07,device124,1176076800,0.5,246
payment125,user_account125,user_account76,11/27/03,device125,1069891200,0.5,585
payment126,user_account126,user_account78,11/27/16,device126,1480204800,0.5,701
payment127,user_account127,user_account40,5/24/03,device127,1053734400,0.5,268
payment128,user_account128,user_account40,1/24/11,device128,1295827200,0.5,128
payment129,user_account129,user_account40,12/27/08,device129,1230336000,0.5,301
payment130,user_account130,user_account40,7/16/12,device130,1342396800,0.5,277
payment131,user_account131,user_account31,9/28/18,device131,1538092800,0.5,497
payment132,user_account132,user_account50,2/11/15,device132,1423612800,0.5,281
payment133,user_account133,user_account52,2/3/06,device133,1138924800,0.5,417
payment134,user_account134,user_account54,9/13/01,device134,1000339200,0.5,291
payment135,user_account135,user_account56,6/22/11,device135,1308700800,0.5,67
payment136,user_account136,user_account58,12/6/07,device136,1196899200,0.5,522
payment137,user_account137,user_account60,10/18/17,device137,1508284800,0.5,696
payment138,user_account138,user_account62,1/12/04,device138,1073865600,0.5,247
payment140,user_account140,user_account64,8/17/11,device140,1313539200,0.5,304
payment141,user_account141,user_account66,5/16/12,device141,1337126400,0.5,140
payment142,user_account142,user_account70,8/10/07,device142,1186704000,0.5,81
payment143,user_account143,user_account72,2/8/01,device143,981590400,0.5,78
payment144,user_account144,user_account74,3/4/05,device144,1109894400,0.5,625
payment145,user_account145,user_account76,9/9/03,device145,1063065600,0.5,669
payment146,user_account146,user_account72,3/1/02,device146,1014940800,0.5,385
payment147,user_account147,user_account74,4/1/11,device147,1301616000,0.5,489
payment148,user_account148,user_account76,11/1/08,device148,1225497600,0.5,222
payment149,user_account149,user_account78,4/24/04,device149,1082764800,0.5,338
payment150,user_account150,user_account40,7/27/16,device150,1469577600,0.5,772
payment151,user_account151,user_account40,2/9/12,device151,1328745600,0.5,416
payment152,user_account152,user_account40,4/13/13,device152,1365811200,0.5,308
payment153,user_account153,user_account40,7/7/02,device153,1026000000,0.5,746
payment154,user_account154,user_account31,7/14/11,device154,1310601600,0.5,780
payment155,user_account155,user_account50,3/13/06,device155,1142208000,0.5,151
payment156,user_account156,user_account52,7/24/15,device156,1437696000,0.5,579
payment157,user_account157,user_account54,4/3/16,device157,1459641600,0.5,752
payment158,user_account158,user_account56,6/25/14,device158,1403654400,0.5,690
